timestamp,oxygen,temperature,phase,amplitude,error
2025-10-24T12:49:19.573695,150.31,25.1,28.49,140940,0
2025-10-24T12:49:24.774866,150.35,25.13,28.48,140900,0
2025-10-24T12:49:29.976058,150.3,25.16,28.47,140839,0
2025-10-24T12:49:35.176976,150.34,25.16,28.47,140809,0
